P/S, n, m, Smax, Emax, p2, p2, q4,q3, q2, q1, q0, SS rmse, PR rmse
0,10,1,91.81385708,0.144889858,-2972.274974,1060.727516,-0.234157155,0.561371825,-0.407390891,0.001933702,0.088935233,0.297245479,0.000391041
0,10,2,92.16850602,0.149259552,-2880.739819,1047.258429,-0.183375385,0.502521659,-0.435060043,0.044364271,0.098596669,0.259928962,0.000196903
0,10,3,92.71657646,0.149949504,-2745.506549,1028.684393,-0.161813395,0.437378763,-0.370845576,0.023629708,0.118663062,0.185399061,7.83E-05
0,10,4,94.90717882,0.159378843,-2543.076463,998.7877377,-0.114887813,0.354797952,-0.345806147,0.029498209,0.142776456,0.171488556,0.00012364
0,10,5,97.13344479,0.166508344,-2362.202856,972.7557265,-0.140721855,0.4007495,-0.374037225,0.031381108,0.162515632,0.159148454,0.000158112
0,10,6,100.173273,0.177777556,-2202.407681,951.7378608,-0.147698995,0.440000077,-0.426833316,0.043590579,0.180504489,0.174824471,0.000208595
0,10,7,102.7597308,0.18628696,-2068.068616,933.7598065,-0.101586468,0.352638451,-0.39227004,0.0445164,0.191167736,0.201197028,0.000217874
0,10,8,104.8594466,0.190196686,-1988.858303,919.047001,-0.084604733,0.332407998,-0.394476117,0.046504828,0.197400201,0.229722136,0.000222891
0,10,9,106.927393,0.198706091,-1929.024685,915.8087579,-0.125385657,0.416689158,-0.45268279,0.054149047,0.203304873,0.238848336,0.000265689
0,10,10,107.9958243,0.208595398,-1919.763205,903.6458077,-0.13064046,0.449857791,-0.493316926,0.059803404,0.20190761,0.250594809,0.000320556
0,11,0,89.25458386,0.140520164,-3117.929322,1076.776785,-0.228985394,0.588809736,-0.472186467,0.035720924,0.083000423,0.272677827,0.000224047
0,11,1,92.36267705,0.146499745,-2994.342429,1068.507325,-0.207363026,0.536022365,-0.433930456,0.0326967,0.083130273,0.265908545,0.000121487
0,11,2,91.60364834,0.144659874,-2886.164189,1052.786835,-0.206210829,0.542673981,-0.44531157,0.034506448,0.100698293,0.252341614,0.000161223
0,11,3,92.70369166,0.150869439,-2755.003411,1032.920027,-0.148726902,0.409216077,-0.355214508,0.019409265,0.117393102,0.244701971,0.0001539
0,11,4,94.795041,0.158228924,-2605.445681,1010.465567,-0.160417474,0.447988292,-0.399207227,0.032896799,0.138094235,0.186896616,0.000173777
0,11,5,95.93519164,0.16213865,-2431.638632,984.0974284,-0.13379447,0.394416094,-0.3716149,0.028679457,0.156779522,0.162063388,0.000124068
0,11,6,97.85579409,0.170188087,-2284.65488,961.9547458,-0.102539706,0.3457893,-0.365818006,0.040641732,0.167374289,0.147700245,0.000208156
0,11,7,101.5210462,0.181687282,-2138.001759,943.5123616,-0.100535029,0.343242554,-0.375918817,0.043385226,0.180813964,0.153137265,0.000226297
0,11,8,103.3712878,0.18628696,-2043.50094,930.2516674,-0.075768436,0.301880188,-0.364158352,0.043174025,0.190605808,0.193343926,0.000236676
0,11,9,105.9579313,0.19456638,-1965.993735,921.0248164,-0.106145278,0.379185391,-0.428029567,0.051764596,0.198968788,0.226743883,0.000282616
0,11,10,106.9806267,0.200315978,-1921.019496,914.7888061,-0.119205732,0.389730748,-0.425195314,0.043991668,0.204435259,0.219323213,0.000217737
0,11,11,107.5325552,0.207675463,-1925.254529,913.1257097,-0.140830638,0.445077564,-0.465519971,0.047034993,0.203978558,0.255928941,0.000240162
0,12,0,90.53598556,0.142590019,-3123.697666,1080.305463,-0.21506945,0.564255411,-0.461107459,0.034968941,0.08327919,0.257510638,0.000144815
0,12,1,92.34133273,0.14442989,-2978.227733,1069.193311,-0.21149766,0.551975821,-0.450021261,0.033210456,0.087794093,0.305407701,0.000202776
